﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1mH84zLWFB3MkqlavtNjrf","GMF","John Grant","Pale Green Ghosts","1","3","313986","spotify:user:abcportugal1988","2017-09-03T15:06:38Z"
"spotify:track:4hq3eYHlkHhcD70jwgZQhE","Þerney (One Thing)","Pascal Pinon","Twosomeness","1","2","217186","spotify:user:abcportugal1988","2017-09-04T00:54:28Z"
"spotify:track:2YpMNBg4yFZZPNCQjrwcRi","Steamboat","AdriAnne Lenker","Hours Were the Birds","1","5","161626","spotify:user:abcportugal1988","2017-09-08T14:17:54Z"
"spotify:track:5WRR0hMHbpudiTOoj4vsX0","Tea, Milk & Honey","Oh Pep!","Stadium Cake","1","6","322173","spotify:user:abcportugal1988","2017-09-08T14:25:43Z"
"spotify:track:3LBBbuewEDcvr2BPrUJfMJ","All Through The Night","Oberhofer","Table 19: Oberhofer's Ultimate Wedding Mixtape","1","1","253013","spotify:user:abcportugal1988","2017-09-08T14:38:18Z"
"spotify:track:2WueTmc9qkc7kvo30LNdYe","Aldrig lugnt","Nadja Evelina","Aldrig samma/Alltid samma","1","1","182866","spotify:user:abcportugal1988","2017-09-11T02:44:27Z"
"spotify:track:24FkH15vdGOSkyfLAovlKl","Ordinary Madness","Joe Goddard, SLO","Electric Lines (Deluxe Version)","1","1","298881","spotify:user:abcportugal1988","2017-09-11T02:49:21Z"
"spotify:track:4vDQMtAXkPwRxEqM8oXtMQ","Omaha","Toro y Moi","Omaha","1","1","196790","spotify:user:abcportugal1988","2017-09-11T02:53:06Z"
"spotify:track:7j1Q7Xx6Ozn5mUJfrqaSjp","What You Need","BAYNK, NÏKA","What You Need","1","1","218086","spotify:user:abcportugal1988","2017-09-11T02:58:15Z"
"spotify:track:72DTGt2tVAL6ATVhzVjvkk","Lust For Life","Girls","Album","1","1","145293","spotify:user:abcportugal1988","2017-09-11T03:08:32Z"
"spotify:track:5zOnoB8FdZudDcPX4O8WqF","(No One Knows Me) Like the Piano","Sampha","Process","1","4","218160","spotify:user:abcportugal1988","2017-09-11T03:19:15Z"
"spotify:track:5uWHu2Oz5nIWoO38JeRtSJ","Hey Mami","Sylvan Esso","Sylvan Esso","1","1","200160","spotify:user:abcportugal1988","2017-09-11T12:54:32Z"
"spotify:track:6AYrHFx4DQxdUQeSmAzNYr","Artifice","SOHN","Tremors","1","3","197977","spotify:user:abcportugal1988","2017-09-11T21:04:40Z"
"spotify:track:6KZ7duCkaniteGwmqz5ors","Happy Accidents","Saint Motel","saintmotelevision","1","10","183333","spotify:user:abcportugal1988","2017-09-12T16:46:32Z"
"spotify:track:4SQfzfWy9zrddTtvhZ6cIa","Dress","Sylvan Esso","Sylvan Esso","1","5","229840","spotify:user:abcportugal1988","2017-09-21T17:28:38Z"
"spotify:track:33BWiM6OaybYEtYklVeC6T","Gunerius - Remix","Amanda Delara","Gunerius (Remix)","1","1","207098","spotify:user:abcportugal1988","2017-09-25T01:28:01Z"
"spotify:track:2cKo2UWaGTK2DCkn1T4vXW","Kamikaze","Susanne Sundfør","Ten Love Songs","1","5","311653","spotify:user:abcportugal1988","2017-09-25T01:50:14Z"
"spotify:track:23Xn28hj2UKh9vQmK9bwsV","I Never Loved This Hard This Fast Before","Tami T","I Never Loved This Hard This Fast Before","1","1","262011","spotify:user:abcportugal1988","2017-09-25T01:57:22Z"
"spotify:track:2eH4LAMhD20bl8tQseKckb","Unchained Melody","Lykke Li","Unchained Melody","1","1","156000","spotify:user:abcportugal1988","2017-09-25T02:07:02Z"
"spotify:track:0HV1cGoX5ASBlPA1pqH8fG","Every Other Freckle","alt-J","This Is All Yours","1","4","216004","spotify:user:abcportugal1988","2017-09-25T02:09:53Z"
"spotify:track:6uFwhB7gVs7ExCAfJD5BWg","Mais Ninguém","Banda do Mar","Banda do Mar","1","2","168640","spotify:user:abcportugal1988","2017-09-25T02:22:10Z"
"spotify:track:39X5TMrohxd2kGC8CwZ4nO","Used To Be","Beach House","Teen Dream","1","5","238760","spotify:user:abcportugal1988","2017-09-25T02:24:49Z"
"spotify:track:70WyPf8WtXvG3CgeTZZWz6","Nantes","Beirut","The Flying Club Cup","1","2","230200","spotify:user:abcportugal1988","2017-09-25T02:29:54Z"
"spotify:track:1c20BEm4fEQEDoE5v1ehbZ","Look At What The Light Did Now","Flo Morrissey and Matthew E. White","Gentlewoman, Ruby Man","1","1","201866","spotify:user:abcportugal1988","2017-09-25T10:40:31Z"
"spotify:track:7Asow87xLxIV8v8RgIgq1h","É preciso que eu diminua","Samuel Uria","Carga de Ombro","1","2","250679","spotify:user:abcportugal1988","2017-09-25T10:43:35Z"
"spotify:track:0S0KpAMozQV6axfsJTRM0u","We Are the Ones","WE TRUST","Everyday Heroes","1","5","217200","spotify:user:abcportugal1988","2017-09-25T10:49:11Z"
"spotify:track:3I0w0pdn5s2W44gGmBxsa0","Amanhã Tou Melhor","Capitão Fausto","Capitão Fausto Têm os Dias Contados","1","2","206733","spotify:user:abcportugal1988","2017-09-25T17:14:14Z"
"spotify:track:36G0EHyZxajeNwD1aIEl5F","Painted Yellow Lines","Dispatch","America, Location 12","1","4","320533","spotify:user:abcportugal1988","2017-09-25T18:40:44Z"
"spotify:track:2QD3d1Jmro7nBLDoABJ5AF","Over Everything","Courtney Barnett, Kurt Vile","Over Everything","1","1","380106","spotify:user:abcportugal1988","2017-09-26T13:10:45Z"
"spotify:track:1LfWibYjk0TD8YNPtzym9A","33 “GOD”","Bon Iver","22, A Million","1","4","213000","spotify:user:abcportugal1988","2017-09-26T13:17:43Z"
"spotify:track:1CLmFKW99S8eJrebO3GB04","No Woman","Whitney","Light Upon the Lake","1","1","237973","spotify:user:abcportugal1988","2017-09-26T13:36:40Z"
